date,CO2
2023-02-27 03:16:00+00:00,415.125
2023-02-27 03:18:00+00:00,416
2023-02-27 03:20:00+00:00,416.1416667
2023-02-27 03:22:00+00:00,415.8083333
2023-02-27 03:24:00+00:00,417
2023-02-27 03:26:00+00:00,416.15
2023-02-27 03:28:00+00:00,417.5
2023-02-27 03:30:00+00:00,417.3333333
2023-02-27 03:32:00+00:00,417.8333333
2023-02-27 03:34:00+00:00,417.6666667
2023-02-27 03:36:00+00:00,417.6666667
2023-02-27 03:38:00+00:00,417.5
2023-02-27 03:40:00+00:00,417.5
2023-02-27 03:42:00+00:00,417.3333333
2023-02-27 03:44:00+00:00,416.6583333
2023-02-27 03:46:00+00:00,417.3333333
2023-02-27 03:48:00+00:00,417.3333333
2023-02-27 03:50:00+00:00,417.1666667
2023-02-27 03:52:00+00:00,417.1666667
2023-02-27 03:54:00+00:00,417
2023-02-27 03:56:00+00:00,417.5
2023-02-27 03:58:00+00:00,417.1666667
2023-02-27 04:00:00+00:00,417.6666667
2023-02-27 04:02:00+00:00,417.5
2023-02-27 04:04:00+00:00,417.3333333
2023-02-27 04:06:00+00:00,417
2023-02-27 04:08:00+00:00,417.5
2023-02-27 04:10:00+00:00,417.5
2023-02-27 04:12:00+00:00,419.6666667
2023-02-27 04:14:00+00:00,419.1666667
2023-02-27 04:16:00+00:00,419.3333333
2023-02-27 04:18:00+00:00,417.6666667
2023-02-27 04:20:00+00:00,417.3333333
2023-02-27 04:22:00+00:00,417.3333333
2023-02-27 04:24:00+00:00,417.3333333
2023-02-27 04:26:00+00:00,417.8333333
2023-02-27 04:28:00+00:00,420
2023-02-27 04:30:00+00:00,418.6666667
2023-02-27 04:32:00+00:00,419
2023-02-27 04:34:00+00:00,419.5
2023-02-27 04:36:00+00:00,419.3333333
2023-02-27 04:38:00+00:00,419.5
2023-02-27 04:40:00+00:00,419.3333333
2023-02-27 04:42:00+00:00,419
2023-02-27 04:44:00+00:00,419.1666667
2023-02-27 04:46:00+00:00,419
2023-02-27 04:48:00+00:00,419.3333333
2023-02-27 04:50:00+00:00,419.3333333
2023-02-27 04:52:00+00:00,420
2023-02-27 04:54:00+00:00,419
2023-02-27 04:56:00+00:00,419.1666667
2023-02-27 04:58:00+00:00,419
2023-02-27 05:00:00+00:00,419.3333333
2023-02-27 05:02:00+00:00,420
2023-02-27 05:04:00+00:00,417.6666667
2023-02-27 05:06:00+00:00,417.3333333
2023-02-27 05:08:00+00:00,417.1666667
2023-02-27 05:10:00+00:00,416.825
2023-02-27 05:12:00+00:00,417.3333333
2023-02-27 05:14:00+00:00,418.8333333
2023-02-27 05:16:00+00:00,419.3333333
